,Complaint Type,Sub Type,Unnamed: 0,address_street_direction,address_street_name,address_street_number,address_street_suffix,any_people_using_property_homeless_childen_gangs_,community_area,completion_date,creation_date,current_activity,if_the_building_is_open_where_is_the_entry_point_,is_the_building_currently_vacant_or_occupied_,is_the_building_dangerous_or_hazardous_,is_the_building_vacant_due_to_fire_,latitude,location,location_of_building_on_the_lot_if_garage_change_type_code_to_bgd_,longitude,most_recent_action,number_of_potholes_filled_on_block,police_district,service_request_number,service_request_type,ssa,status,street_address,type_of_service_request,ward,what_type_of_surface_is_the_graffiti_on_,x_coordinate,y_coordinate,zip_code
148114,Graffiti Removal,Side,48114,,,,,,23.0,2012-05-30T00:00:00,2012-05-08T00:00:00,,,,,,41.910332307504966,"{'longitude': '-87.70551941016132', 'needs_recoding': False, 'latitude': '41.910332307504966'}",,-87.7055194101613,,,14.0,12-00883470,,,Completed,1605 N TROY ST,Graffiti Removal,26.0,Brick - Painted,1155098.332991,1910498.53919274,60647.0
683961,Graffiti Removal,Front,33961,,,,,,31.0,2015-10-16T00:00:00,2015-10-15T00:00:00,,,,,,41.84775330061265,"{'longitude': '-87.6781182656287', 'needs_recoding': False, 'latitude': '41.84775330061265'}",,-87.6781182656287,,,10.0,15-05375794,,,Completed,2460 S BLUE ISLAND AVE,Graffiti Removal,25.0,Metal - Painted,1162768.18013008,1887746.31271584,60608.0
1137745,Pot Holes Reported,Pot Hole in Street,24407,,,,,,7.0,2014-03-18T00:00:00,2014-02-12T00:00:00,Final Outcome,,,,,41.91319127502782,"{'longitude': '-87.63687644376965', 'needs_recoding': False, 'latitude': '41.91319127502782'}",,-87.63687644376967,Pothole Patched,9.0,18.0,14-00200439,,,Completed,1710 N NORTH PARK AVE,,43.0,,1173854.12637003,1911711.77182372,60614.0
1244821,Pot Holes Reported,Pothole in Street,31483,,,,,,67.0,2015-03-12T00:00:00,2015-03-12T00:00:00,Final Outcome,,,,,41.78612656625192,"{'longitude': '-87.67059399927223', 'needs_recoding': False, 'latitude': '41.786126566251916'}",,-87.67059399927223,Pothole Patched,4.0,7.0,15-00685298,,,Completed,5916 S HONORE ST,,15.0,,1165031.59171966,1865443.38968187,60636.0
443916,Graffiti Removal,Front,43916,,,,,,63.0,2014-01-02T00:00:00,2014-01-02T00:00:00,,,,,,41.797266980885524,"{'longitude': '-87.69282502435478', 'needs_recoding': False, 'latitude': '41.79726698088552'}",,-87.69282502435478,,,9.0,14-00003674,,,Completed,5300 S FAIRFIELD AVE,Graffiti Removal,14.0,Other / Unknown Surface,1158939.340423,1869399.53442479,60632.0
404712,Graffiti Removal,Front,4712,,,,,,61.0,2013-09-30T00:00:00,2013-09-27T00:00:00,,,,,,41.80608990629957,"{'longitude': '-87.66869605982231', 'needs_recoding': False, 'latitude': '41.80608990629957'}",,-87.66869605982231,,,9.0,13-01447436,,,Completed,4820 S HERMITAGE AVE,Graffiti Removal,20.0,Wood - Painted,1165492.04040878,1872735.91809209,60609.0
688872,Graffiti Removal,Traffic Control Box,38872,,,,,,77.0,2015-10-30T00:00:00,2015-10-30T00:00:00,,,,,,41.97988428297559,"{'longitude': '-87.66842948468236', 'needs_recoding': False, 'latitude': '41.97988428297559'}",,-87.66842948468235,,,20.0,15-05822950,,22.0,Completed,5400 N CLARK ST,Graffiti Removal,40.0,Metal - Painted,1165077.58647242,1935947.088995,60640.0
908508,Vacant and Abandoned Buildings Reported,Open,3886,S,HOYNE,7628,AVE,0.0,71.0,,2016-04-07T00:00:00,,GARAGE PANEL,Vacant,,0.0,41.755152902003495,"{'longitude': '-87.67569942689192', 'needs_recoding': False, 'latitude': '41.755152902003495'}",Garage,-87.67569942689192,,,6.0,16-02348373,Vacant/Abandoned Building,,,,,18.0,,1163687.33986985,1854054.46452533,60620.0
966666,Pot Holes Reported,Pot Hole in Street,3328,,,,,,10.0,2012-03-15T00:00:00,2012-03-13T00:00:00,Dispatch Crew,,,,,41.977244924258315,"{'longitude': '-87.79768079630041', 'needs_recoding': False, 'latitude': '41.97724492425831'}",,-87.79768079630041,Pothole Patched,20.0,16.0,12-00607214,,,Completed,5300 N NEWCASTLE AVE,,41.0,,1129938.65537191,1934727.25358626,60656.0
138896,Graffiti Removal,Fence,38896,,,,,,59.0,2012-05-10T00:00:00,2012-04-26T00:00:00,,,,,,41.83575512233051,"{'longitude': '-87.66865865764319', 'needs_recoding': False, 'latitude': '41.83575512233051'}",,-87.66865865764318,,,9.0,12-00821454,,,Completed,3203 S ARCHER AVE,Graffiti Removal,11.0,Metal,1165372.43651252,1883484.53267506,60608.0
1048742,Pot Holes Reported,Pot Hole in Street,35404,,,,,,28.0,2012-10-17T00:00:00,2012-10-17T00:00:00,Final Outcome,,,,,41.86964302748908,"{'longitude': '-87.6455202921142', 'needs_recoding': False, 'latitude': '41.869643027489076'}",,-87.6455202921142,Pothole Patched,10.0,12.0,12-01762577,,,Completed,1000 S UNION AVE,,2.0,,1171628.13161532,1895851.4439963002,60607.0
501044,Graffiti Removal,Front,1044,,,,,,56.0,2014-05-20T00:00:00,2014-05-19T00:00:00,,,,,,41.785210446566,"{'longitude': '-87.76584833805934', 'needs_recoding': False, 'latitude': '41.785210446566'}",,-87.76584833805934,,,8.0,14-00739861,,,Completed,5735 W 59TH ST,Graffiti Removal,13.0,Metal - Painted,1139040.10002007,1864875.18001264,60638.0
1013649,Pot Holes Reported,Pot Hole in Street,311,,,,,,21.0,2012-05-31T00:00:00,2012-05-22T00:00:00,Dispatch Crew,,,,,41.93894208591459,"{'longitude': '-87.73047910693326', 'needs_recoding': False, 'latitude': '41.93894208591459'}",,-87.73047910693327,Pothole Patched,10.0,25.0,12-00961563,,,Completed,4121 W BELMONT AVE,,31.0,,1148357.76822381,1920958.9068763,60641.0
1007374,Pot Holes Reported,Pot Hole in Street,44036,,,,,,25.0,2011-05-17T00:00:00,2011-05-07T00:00:00,,,,,,41.88961175208059,"{'longitude': '-87.74576439390353', 'needs_recoding': False, 'latitude': '41.88961175208059'}",,-87.74576439390353,,,15.0,11-01496753,,,Completed - Dup,500 N CICERO AVE,,28.0,,1144275.28793016,1902896.92002096,60644.0
174055,Graffiti Removal,Side,24055,,,,,,19.0,2012-06-14T00:00:00,2012-06-09T00:00:00,,,,,,41.930956642197415,"{'longitude': '-87.78112025707465', 'needs_recoding': False, 'latitude': '41.930956642197415'}",,-87.78112025707466,,,25.0,12-01051908,,,Completed,6207 W DIVERSEY AVE,Graffiti Removal,29.0,Brick - Unpainted,1134510.32452996,1917954.31357232,60639.0
1477936,Sanitation Code Complaints,Garbage in alley,7156,,,,,,38.0,2016-08-22T00:00:00,2016-08-09T00:00:00,,,,,,41.809401136550726,"{'longitude': '-87.61547708798729', 'needs_recoding': False, 'latitude': '41.80940113655073'}",,-87.61547708798729,,,2.0,16-05618111,,,Completed,434 E 47TH ST,Sanitation Code Violation,3.0,,1179954.2457767,1873953.51112038,60653.0
460299,Graffiti Removal,Side,10299,,,,,,62.0,2014-02-26T00:00:00,2014-02-22T00:00:00,,,,,,41.79890960710668,"{'longitude': '-87.72317801859471', 'needs_recoding': False, 'latitude': '41.79890960710668'}",,-87.72317801859471,,,8.0,14-00254326,,,Completed,5155 S PULASKI RD,Graffiti Removal,23.0,Brick - Painted,1150574.7095191001,1870063.93616773,60632.0
723935,Graffiti Removal,Garage,23935,,,,,,69.0,2016-02-18T00:00:00,2016-02-17T00:00:00,,,,,,41.758054505742585,"{'longitude': '-87.61039288293938', 'needs_recoding': False, 'latitude': '41.758054505742585'}",,-87.61039288293938,,,6.0,16-00972079,,51.0,Completed,7512 S ST LAWRENCE AVE,Graffiti Removal,6.0,Aluminum Siding,1181535.8806878,1855331.87797974,60619.0
804324,Graffiti Removal,Front,4324,,,,,,24.0,2016-10-12T00:00:00,2016-10-12T00:00:00,,,,,,41.902859234210545,"{'longitude': '-87.69188858431286', 'needs_recoding': False, 'latitude': '41.90285923421055'}",,-87.69188858431286,,,12.0,16-07158678,,,Completed,2559 W DIVISION ST,Graffiti Removal,26.0,Brick - Unpainted,1159047.55269189,1907888.57861961,60622.0
1350372,Pot Holes Reported,Pothole in Street,37034,,,,,,31.0,2017-01-17T00:00:00,2017-01-17T00:00:00,Final Outcome,,,,,41.85246585040187,"{'longitude': '-87.65149303696582', 'needs_recoding': False, 'latitude': '41.85246585040187'}",,-87.6514930369658,Pothole Patched,11.0,12.0,17-00293386,,,Completed,1001 W CERMAK RD,,25.0,,1170028.48008171,1889606.18609683,60608.0
395444,Graffiti Removal,Side,45444,,,,,,22.0,2013-09-10T00:00:00,2013-09-03T00:00:00,,,,,,41.929840103470895,"{'longitude': '-87.72310876044875', 'needs_recoding': False, 'latitude': '41.929840103470895'}",,-87.72310876044874,,,25.0,13-01270512,,,Completed,2655 N AVERS AVE,Graffiti Removal,35.0,Brick - Unpainted,1150265.40187948,1917388.66189137,60647.0
804475,Graffiti Removal,Front,4475,,,,,,24.0,2016-10-12T00:00:00,2016-10-12T00:00:00,,,,,,41.903646620134595,"{'longitude': '-87.667650945915', 'needs_recoding': False, 'latitude': '41.90364662013459'}",,-87.667650945915,,,14.0,16-07149564,,33.0,Completed,1208 N ASHLAND AVE,Graffiti Removal,1.0,Brick - Painted,1165505.44236694,1908142.53409048,60622.0
214232,Graffiti Removal,Side,14232,,,,,,17.0,2011-01-10T00:00:00,2010-07-30T00:00:00,,,,,,41.94219018464656,"{'longitude': '-87.77891383884342', 'needs_recoding': False, 'latitude': '41.94219018464656'}",,-87.77891383884342,,,16.0,10-01196264,,,Completed - Dup,6100 W ROSCOE ST,Graffiti Removal,38.0,Brick - Unpainted,1135118.69517875,1921972.39931506,60634.0
117310,Graffiti Removal,Front,17310,,,,,,30.0,2012-04-13T00:00:00,2012-04-02T00:00:00,,,,,,41.852885851603176,"{'longitude': '-87.69807141509767', 'needs_recoding': False, 'latitude': '41.852885851603176'}",,-87.69807141509767,,,10.0,12-00701379,,,Completed,2868 W 21ST PL,Graffiti Removal,12.0,Brick - Painted,1157431.71998222,1889585.14990066,60623.0
253299,Graffiti Removal,Front,3299,,,,,,65.0,2012-09-24T00:00:00,2012-09-19T00:00:00,,,,,,41.76430915820085,"{'longitude': '-87.71536537383056', 'needs_recoding': False, 'latitude': '41.764309158200845'}",,-87.71536537383056,,,8.0,12-01641101,,,Completed - Dup,3706 W 71ST ST,Graffiti Removal,13.0,Brick - Unpainted,1152862.91969198,1857271.39038906,60629.0
1048959,Pot Holes Reported,Pot Hole in Street,35621,,,,,,17.0,2011-11-23T00:00:00,2011-10-18T00:00:00,Dispatch Crew,,,,,41.94362402908665,"{'longitude': '-87.80215705037972', 'needs_recoding': False, 'latitude': '41.94362402908665'}",,-87.80215705037972,Complete Upon Arrival,0.0,16.0,11-03974392,,,Completed,3500 N NORA AVE,,36.0,,1128798.85009485,1922461.85746641,60634.0
959846,Pot Holes Reported,Pot Hole in Street,46508,,,,,,19.0,2011-03-28T00:00:00,2011-03-08T00:00:00,Dispatch Crew,,,,,41.92956276391242,"{'longitude': '-87.76141663860449', 'needs_recoding': False, 'latitude': '41.92956276391242'}",,-87.76141663860449,Pothole Patched,1.0,25.0,11-00383431,,,Completed,2700 N LONG AVE,,30.0,,1139916.38997221,1917426.38887999,60639.0
1088152,Pot Holes Reported,Pot Hole in Street,24814,,,,,,4.0,2013-08-14T00:00:00,2013-06-18T00:00:00,Final Outcome,,,,,41.9720927144323,"{'longitude': '-87.69536267710798', 'needs_recoding': False, 'latitude': '41.9720927144323'}",,-87.69536267710798,Completed Upon Arrival,0.0,20.0,13-00776848,,,Completed,2635 W ARGYLE ST,,40.0,,1157769.36978037,1933106.97450072,60625.0
111059,Graffiti Removal,Garage,11059,,,,,,19.0,2011-04-06T00:00:00,2011-03-28T00:00:00,,,,,,41.92546248625524,"{'longitude': '-87.76003320516574', 'needs_recoding': False, 'latitude': '41.92546248625524'}",,-87.76003320516573,,,25.0,11-00505813,,,Completed,2446 N LOREL AVE,Graffiti Removal,31.0,Aluminum Siding,1140308.75877517,1915750.66318655,60639.0
